scenario,exit_mode,replication,seed,survival_rate,mean_welfare,survival_new,survival_mid,survival_exp
baseline,endogenous,0,670488,0.3667,20.8133,0.0,0.4286,0.5
baseline,endogenous,1,116740,0.9,24.3996,0.7,1.0,1.0
baseline,endogenous,2,26226,0.4667,13.7399,0.6,0.1538,0.8571
baseline,endogenous,3,777573,0.9,23.8859,0.875,1.0,0.7778
baseline,endogenous,4,288390,0.7333,17.964,0.7143,0.7778,0.7143
baseline,endogenous,5,256788,0.7667,34.7062,0.7778,0.6923,0.875
baseline,endogenous,6,234054,0.5667,17.7716,0.5455,0.6,0.5
baseline,endogenous,7,146317,0.8333,23.3932,0.8,0.9,0.8
baseline,endogenous,8,772247,0.6667,24.4268,0.5,0.7273,0.7273
baseline,endogenous,9,107474,0.9667,39.4238,1.0,1.0,0.9231
baseline,endogenous,10,709571,0.6333,33.6376,0.625,0.375,0.7857
baseline,endogenous,11,776647,0.9,32.5796,0.8182,1.0,0.8889
baseline,endogenous,12,935519,0.8333,27.5159,0.7273,0.9091,0.875
baseline,endogenous,13,571859,0.8333,27.7496,1.0,0.75,0.7857
baseline,endogenous,14,91162,0.5333,19.0791,0.4667,0.6667,0.5
baseline,endogenous,15,619177,0.6667,18.8182,0.5833,0.7273,0.7143
baseline,endogenous,16,442418,0.9667,19.0783,1.0,0.9231,1.0
baseline,endogenous,17,33327,0.9,46.1243,0.7778,0.9,1.0
baseline,endogenous,18,31245,0.9,31.8782,0.7143,0.9167,1.0
baseline,endogenous,19,98247,0.9333,28.8209,1.0,0.8667,1.0
baseline,endogenous,20,229259,0.9667,37.8137,1.0,1.0,0.9091
baseline,endogenous,21,243963,0.7333,34.3124,0.8571,0.6154,0.8
baseline,endogenous,22,529904,0.8,36.357,0.7143,0.7,0.9231
baseline,endogenous,23,631263,0.6667,31.2897,0.4444,0.8,0.7273
baseline,endogenous,24,27825,0.5667,20.122,0.6,0.5833,0.3333
baseline,endogenous,25,588509,0.7333,25.5437,0.5455,0.8333,0.8571
baseline,endogenous,26,208497,0.7,22.0459,0.7273,0.75,0.5714
baseline,endogenous,27,750801,0.8,22.8076,0.8,0.8182,0.7778
baseline,endogenous,28,681454,0.5,28.2028,0.1429,0.6667,0.5455
baseline,endogenous,29,735393,0.3,19.0921,0.25,0.5,0.1667
baseline,endogenous,30,571413,0.5333,27.3393,0.5,0.5,0.6667
baseline,endogenous,31,439899,0.7333,36.5882,0.7778,0.4444,0.9167
baseline,endogenous,32,231149,0.5,10.7662,0.4167,0.5,0.75
baseline,endogenous,33,471030,0.7,24.2773,0.7692,0.7273,0.5
baseline,endogenous,34,617890,0.9667,29.8648,1.0,1.0,0.9
baseline,endogenous,35,291705,0.4667,32.1573,0.0,0.5556,0.4444
baseline,endogenous,36,848750,0.8667,25.2477,1.0,0.8182,0.8
baseline,endogenous,37,911528,0.8,24.7867,0.8571,0.8462,0.7
baseline,endogenous,38,6815,0.8,27.8044,0.8889,0.6364,0.9
baseline,endogenous,39,795668,0.8333,25.7691,1.0,0.5833,1.0
baseline,endogenous,40,844963,0.5667,26.0435,0.8571,0.4286,0.5556
baseline,endogenous,41,167415,0.9667,34.2333,0.875,1.0,1.0
baseline,endogenous,42,732053,0.7667,31.7403,0.7,0.8462,0.7143
baseline,endogenous,43,443144,0.5667,18.0426,0.625,0.4286,0.75
baseline,endogenous,44,356779,0.6333,11.8329,0.5,0.8333,0.6667
baseline,endogenous,45,291370,0.7667,24.2806,0.6,0.8333,0.875
baseline,endogenous,46,163033,0.5333,27.2627,0.4545,0.875,0.3636
baseline,endogenous,47,225773,0.7,22.3991,0.8,0.7273,0.5556
baseline,endogenous,48,800582,0.7333,21.3576,1.0,0.75,0.5833
baseline,endogenous,49,352945,0.7333,34.2498,0.375,0.8462,0.8889
baseline,endogenous,50,107176,0.8,26.0546,0.875,0.6923,0.8889
baseline,endogenous,51,97252,0.9,22.7639,1.0,0.9375,0.75
baseline,endogenous,52,398383,0.7333,25.8083,0.8462,0.5,0.8571
baseline,endogenous,53,101415,0.9667,22.1593,1.0,0.8889,1.0
baseline,endogenous,54,376418,0.7,31.5362,0.5556,0.75,0.7778
baseline,endogenous,55,888663,0.5,22.6903,0.5,0.5,0.5
baseline,endogenous,56,360664,0.9667,22.4864,1.0,1.0,0.8889
baseline,endogenous,57,633053,0.7667,15.9991,0.8182,0.6,0.8889
baseline,endogenous,58,277371,0.8667,21.2379,0.8462,1.0,0.8182
baseline,endogenous,59,846336,0.9,32.4167,0.8462,1.0,0.8571
baseline,endogenous,60,45562,0.8667,31.9484,0.8571,0.7692,1.0
baseline,endogenous,61,765180,0.4333,15.4873,0.4444,0.4286,0.4286
baseline,endogenous,62,481742,0.7667,26.1338,0.7,0.7778,0.8182
baseline,endogenous,63,562276,0.8667,19.3861,0.8333,0.8182,1.0
baseline,endogenous,64,130890,0.5667,27.5997,0.5,0.6667,0.5
baseline,endogenous,65,967097,0.6667,29.1311,0.6364,0.6667,0.6875
baseline,endogenous,66,396923,0.5333,16.9654,0.4,0.4167,0.875
baseline,endogenous,67,82628,0.8667,23.5392,0.75,0.9231,0.8889
baseline,endogenous,68,578857,0.8,21.5744,0.75,0.6667,1.0
baseline,endogenous,69,307420,0.6,25.623,0.6667,0.5455,0.6
baseline,endogenous,70,869694,0.7,26.13,0.625,0.6667,0.8571
baseline,endogenous,71,659177,0.4667,18.3139,0.4545,0.5,0.4
baseline,endogenous,72,648565,0.5667,23.0062,0.4615,0.6667,0.625
baseline,endogenous,73,928464,0.6,23.0682,0.4286,0.6667,0.6364
baseline,endogenous,74,903566,0.9667,36.7677,1.0,0.9231,1.0
baseline,endogenous,75,379202,0.2333,23.7795,0.0909,0.3333,0.3
baseline,endogenous,76,605398,0.8667,22.8681,0.8333,0.875,0.875
baseline,endogenous,77,201630,0.9333,19.0876,0.8333,1.0,1.0
baseline,endogenous,78,738798,0.8,18.4995,0.75,0.8571,0.75
baseline,endogenous,79,72934,0.7667,26.215,0.6667,0.7778,0.8333
baseline,endogenous,80,48051,0.5333,26.0717,0.6,0.9,0.2667
baseline,endogenous,81,693385,0.8,17.594,0.7,0.7778,0.9091
baseline,endogenous,82,238969,0.8333,38.1013,1.0,0.75,0.7692
baseline,endogenous,83,810621,0.5333,20.7857,0.4167,0.6667,0.3333
baseline,endogenous,84,303446,0.7667,23.0321,0.75,0.8,0.7143
baseline,endogenous,85,83668,0.6,32.9243,0.5714,0.5833,0.6364
