scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,mid,endogenous,0,670488,0.3667,20.8133
baseline,mid,endogenous,1,116740,0.9,24.3996
baseline,mid,endogenous,2,26226,0.4667,13.7399
baseline,mid,endogenous,3,777573,0.9,23.8859
baseline,mid,endogenous,4,288390,0.7333,17.964
baseline,mid,endogenous,5,256788,0.7667,34.7062
baseline,mid,endogenous,6,234054,0.5667,17.7716
baseline,mid,endogenous,7,146317,0.8333,23.3932
baseline,mid,endogenous,8,772247,0.6667,24.4268
baseline,mid,endogenous,9,107474,0.9667,39.4238
baseline,mid,endogenous,10,709571,0.6333,33.6376
baseline,mid,endogenous,11,776647,0.9,32.5796
baseline,mid,endogenous,12,935519,0.8333,27.5159
baseline,mid,endogenous,13,571859,0.8333,27.7496
baseline,mid,endogenous,14,91162,0.5333,19.0791
baseline,mid,endogenous,15,619177,0.6667,18.8182
baseline,mid,endogenous,16,442418,0.9667,19.0783
baseline,mid,endogenous,17,33327,0.9,46.1243
baseline,mid,endogenous,18,31245,0.9,31.8782
baseline,mid,endogenous,19,98247,0.9333,28.8209
baseline,mid,endogenous,20,229259,0.9667,37.8137
baseline,mid,endogenous,21,243963,0.7333,34.3124
baseline,mid,endogenous,22,529904,0.8,36.357
baseline,mid,endogenous,23,631263,0.6667,31.2897
baseline,mid,endogenous,24,27825,0.5667,20.122
baseline,mid,endogenous,25,588509,0.7333,25.5437
baseline,mid,endogenous,26,208497,0.7,22.0459
baseline,mid,endogenous,27,750801,0.8,22.8076
baseline,mid,endogenous,28,681454,0.5,28.2028
baseline,mid,endogenous,29,735393,0.3,19.0921
baseline,mid,endogenous,30,571413,0.5333,27.3393
baseline,mid,endogenous,31,439899,0.7333,36.5882
baseline,mid,endogenous,32,231149,0.5,10.7662
baseline,mid,endogenous,33,471030,0.7,24.2773
baseline,mid,endogenous,34,617890,0.9667,29.8648
baseline,mid,endogenous,35,291705,0.4667,32.1573
baseline,mid,endogenous,36,848750,0.8667,25.2477
baseline,mid,endogenous,37,911528,0.8,24.7867
baseline,mid,endogenous,38,6815,0.8,27.8044
baseline,mid,endogenous,39,795668,0.8333,25.7691
baseline,mid,endogenous,40,844963,0.5667,26.0435
baseline,mid,endogenous,41,167415,0.9667,34.2333
baseline,mid,endogenous,42,732053,0.7667,31.7403
baseline,mid,endogenous,43,443144,0.5667,18.0426
baseline,mid,endogenous,44,356779,0.6333,11.8329
baseline,mid,endogenous,45,291370,0.7667,24.2806
baseline,mid,endogenous,46,163033,0.5333,27.2627
baseline,mid,endogenous,47,225773,0.7,22.3991
baseline,mid,endogenous,48,800582,0.7333,21.3576
baseline,mid,endogenous,49,352945,0.7333,34.2498
baseline,mid,endogenous,50,107176,0.8,26.0546
baseline,mid,endogenous,51,97252,0.9,22.7639
baseline,mid,endogenous,52,398383,0.7333,25.8083
baseline,mid,endogenous,53,101415,0.9667,22.1593
baseline,mid,endogenous,54,376418,0.7,31.5362
baseline,mid,endogenous,55,888663,0.5,22.6903
baseline,mid,endogenous,56,360664,0.9667,22.4864
baseline,mid,endogenous,57,633053,0.7667,15.9991
baseline,mid,endogenous,58,277371,0.8667,21.2379
baseline,mid,endogenous,59,846336,0.9,32.4167
baseline,mid,endogenous,60,45562,0.8667,31.9484
baseline,mid,endogenous,61,765180,0.4333,15.4873
baseline,mid,endogenous,62,481742,0.7667,26.1338
baseline,mid,endogenous,63,562276,0.8667,19.3861
baseline,mid,endogenous,64,130890,0.5667,27.5997
baseline,mid,endogenous,65,967097,0.6667,29.1311
baseline,mid,endogenous,66,396923,0.5333,16.9654
baseline,mid,endogenous,67,82628,0.8667,23.5392
baseline,mid,endogenous,68,578857,0.8,21.5744
baseline,mid,endogenous,69,307420,0.6,25.623
baseline,mid,endogenous,70,869694,0.7,26.13
baseline,mid,endogenous,71,659177,0.4667,18.3139
baseline,mid,endogenous,72,648565,0.5667,23.0062
baseline,mid,endogenous,73,928464,0.6,23.0682
baseline,mid,endogenous,74,903566,0.9667,36.7677
