scenario,calibration,exit_mode,replication,seed,survival_rate,mean_welfare
baseline,low,endogenous,0,670488,0.3667,54.1512
baseline,low,endogenous,1,116740,0.9,69.7101
baseline,low,endogenous,2,26226,0.4667,49.4939
baseline,low,endogenous,3,777573,0.9,71.1622
baseline,low,endogenous,4,288390,0.7333,65.1894
baseline,low,endogenous,5,256788,0.7667,67.7644
baseline,low,endogenous,6,234054,0.5667,52.7607
baseline,low,endogenous,7,146317,0.8333,68.0016
baseline,low,endogenous,8,772247,0.6667,64.9539
baseline,low,endogenous,9,107474,0.9667,80.2491
baseline,low,endogenous,10,709571,0.6333,62.6558
baseline,low,endogenous,11,776647,0.9,77.0251
baseline,low,endogenous,12,935519,0.8333,68.0662
baseline,low,endogenous,13,571859,0.8333,69.8543
baseline,low,endogenous,14,91162,0.5333,46.4148
baseline,low,endogenous,15,619177,0.6667,67.9581
baseline,low,endogenous,16,442418,0.9667,70.6
baseline,low,endogenous,17,33327,0.9,81.4648
baseline,low,endogenous,18,31245,0.9,73.2712
baseline,low,endogenous,19,98247,0.9333,73.3658
baseline,low,endogenous,20,229259,0.9667,79.3411
baseline,low,endogenous,21,243963,0.7333,74.4412
baseline,low,endogenous,22,529904,0.8,75.0642
baseline,low,endogenous,23,631263,0.6667,68.1866
baseline,low,endogenous,24,27825,0.5667,60.7511
baseline,low,endogenous,25,588509,0.7333,68.4417
baseline,low,endogenous,26,208497,0.7,68.8996
baseline,low,endogenous,27,750801,0.8,68.7627
baseline,low,endogenous,28,681454,0.5,66.0315
baseline,low,endogenous,29,735393,0.3,52.5404
baseline,low,endogenous,30,571413,0.5333,64.0525
baseline,low,endogenous,31,439899,0.7333,75.7078
baseline,low,endogenous,32,231149,0.7,56.4315
baseline,low,endogenous,33,471030,0.7,67.1926
baseline,low,endogenous,34,617890,0.9667,76.4917
baseline,low,endogenous,35,291705,0.4667,60.2782
baseline,low,endogenous,36,848750,0.8667,70.0653
baseline,low,endogenous,37,911528,0.8,68.6361
baseline,low,endogenous,38,6815,0.8,69.8596
baseline,low,endogenous,39,795668,0.8333,68.2583
baseline,low,endogenous,40,844963,0.5667,65.8658
baseline,low,endogenous,41,167415,0.9667,77.4966
baseline,low,endogenous,42,732053,0.7667,73.809
baseline,low,endogenous,43,443144,0.6333,54.8371
baseline,low,endogenous,44,356779,0.7,56.8955
baseline,low,endogenous,45,291370,0.7667,73.1942
baseline,low,endogenous,46,163033,0.5333,58.5279
baseline,low,endogenous,47,225773,0.7,69.0547
baseline,low,endogenous,48,800582,0.7333,61.7305
baseline,low,endogenous,49,352945,0.7333,76.3083
baseline,low,endogenous,50,107176,0.8,68.2393
baseline,low,endogenous,51,97252,0.9,72.2615
baseline,low,endogenous,52,398383,0.7333,68.0208
baseline,low,endogenous,53,101415,0.9667,73.7707
baseline,low,endogenous,54,376418,0.7,66.5943
baseline,low,endogenous,55,888663,0.5,52.6806
baseline,low,endogenous,56,360664,0.9667,72.1429
baseline,low,endogenous,57,633053,0.8667,63.3025
baseline,low,endogenous,58,277371,0.8667,68.1694
baseline,low,endogenous,59,846336,0.9,72.7934
baseline,low,endogenous,60,45562,0.8667,74.4725
baseline,low,endogenous,61,765180,0.4333,48.3281
baseline,low,endogenous,62,481742,0.7667,71.2187
baseline,low,endogenous,63,562276,0.8667,66.2157
baseline,low,endogenous,64,130890,0.5667,64.3554
baseline,low,endogenous,65,967097,0.6667,69.4831
baseline,low,endogenous,66,396923,0.5333,51.4519
baseline,low,endogenous,67,82628,0.8667,67.9504
baseline,low,endogenous,68,578857,0.8,64.5514
baseline,low,endogenous,69,307420,0.6,70.3281
baseline,low,endogenous,70,869694,0.7,62.5873
baseline,low,endogenous,71,659177,0.4667,60.745
baseline,low,endogenous,72,648565,0.5667,57.8304
baseline,low,endogenous,73,928464,0.6,65.3537
baseline,low,endogenous,74,903566,0.9667,80.992
baseline,low,endogenous,75,379202,0.2333,48.4093
baseline,low,endogenous,76,605398,0.8667,71.6747
baseline,low,endogenous,77,201630,0.9333,70.4036
baseline,low,endogenous,78,738798,0.8,66.7338
baseline,low,endogenous,79,72934,0.7667,69.8735
baseline,low,endogenous,80,48051,0.5333,62.4969
baseline,low,endogenous,81,693385,0.8,66.1232
baseline,low,endogenous,82,238969,0.8333,78.0578
baseline,low,endogenous,83,810621,0.5333,55.1976
baseline,low,endogenous,84,303446,0.7667,63.8851
baseline,low,endogenous,85,83668,0.6,73.1092
baseline,low,endogenous,86,896866,0.7333,65.1278
baseline,low,endogenous,87,244099,0.7667,68.5264
baseline,low,endogenous,88,908574,0.7667,64.8767
baseline,low,endogenous,89,105908,0.7333,71.2828
baseline,low,endogenous,90,398592,0.8333,71.9079
baseline,low,endogenous,91,291477,0.9,71.7643
baseline,low,endogenous,92,475436,0.6,59.713
baseline,low,endogenous,93,666564,0.9333,77.8469
baseline,low,endogenous,94,874629,0.7,69.434
baseline,low,endogenous,95,382555,0.8,65.321
baseline,low,endogenous,96,170556,0.7,64.8233
baseline,low,endogenous,97,388163,0.8,66.3242
baseline,low,endogenous,98,372529,0.5667,71.3183
baseline,low,endogenous,99,219685,0.9333,70.3543
baseline,low,endogenous,100,702730,0.5333,63.0001
baseline,low,endogenous,101,279947,0.5333,55.027
baseline,low,endogenous,102,735912,0.6,54.7293
baseline,low,endogenous,103,982154,0.6667,70.4688
baseline,low,endogenous,104,716752,0.7,64.3325
baseline,low,endogenous,105,679515,0.5,55.1741
baseline,low,endogenous,106,74871,0.8667,74.152
baseline,low,endogenous,107,638721,0.9333,77.8975
baseline,low,endogenous,108,665823,0.9,67.1855
baseline,low,endogenous,109,179452,0.3333,57.6715
baseline,low,endogenous,110,560087,0.4667,53.5989
baseline,low,endogenous,111,764545,0.9333,65.6255
baseline,low,endogenous,112,256703,0.9333,71.4901
baseline,low,endogenous,113,171340,0.6333,63.1335
baseline,low,endogenous,114,484715,0.6333,66.6069
baseline,low,endogenous,115,397888,0.7667,66.129
baseline,low,endogenous,116,283061,0.4333,53.3788
baseline,low,endogenous,117,970343,0.5667,66.6468
baseline,low,endogenous,118,671089,0.5667,53.0665
baseline,low,endogenous,119,721591,0.3,60.2708
baseline,low,endogenous,120,584005,0.8,69.1845
baseline,low,endogenous,121,230284,0.5667,50.7508
baseline,low,endogenous,122,717871,0.6333,61.4423
baseline,low,endogenous,123,340036,0.7667,72.2118
baseline,low,endogenous,124,883795,0.8333,73.5944
baseline,low,endogenous,125,805636,0.9333,79.8817
baseline,low,endogenous,126,813695,0.6333,64.035
baseline,low,endogenous,127,58656,0.2333,49.5805
baseline,low,endogenous,128,240175,0.4667,63.7797
baseline,low,endogenous,129,861723,0.6333,63.4718
baseline,low,endogenous,130,33660,0.9333,74.3753
baseline,low,endogenous,131,844152,0.7,59.1539
baseline,low,endogenous,132,330777,0.5333,61.8734
baseline,low,endogenous,133,420652,0.5333,65.8681
baseline,low,endogenous,134,280747,0.8333,77.8144
baseline,low,endogenous,135,69404,0.8333,76.1547
baseline,low,endogenous,136,221232,0.7667,62.9653
baseline,low,endogenous,137,957493,0.5667,54.8184
baseline,low,endogenous,138,988713,0.8333,69.5854
baseline,low,endogenous,139,594732,0.9667,78.9128
baseline,low,endogenous,140,918939,0.6667,65.8694
baseline,low,endogenous,141,752788,0.8667,75.3381
baseline,low,endogenous,142,329964,0.8,65.1185
baseline,low,endogenous,143,222956,0.7333,65.2643
baseline,low,endogenous,144,687278,0.5667,57.6188
